Date,Title,Numac,Link FR,Link NL
1/14/2020,"REGION DE BRUXELLES-CAPITALE
REGION DE BRUXELLES-CAPITALE
8 JANVIER 2020. - Arrêté ministériel établissant les modèles de formulaire visé à l'article 8,  §  1er, de l'arrêté du Gouvernement de la Région de Bruxelles-Capitale du 19 janvier 2017 établissant les modalités du régime préférentiel applicable aux droits de succession en cas de transmission des entreprises familiales et des sociétés familiales, p. 997.",2020010053,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-14&caller=list&numac=2020010053,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-14&caller=list&numac=2020010053
1/16/2020,"SERVICE PUBLIC FEDERAL INTERIEUR
10 DECEMBRE 2017. - Arrêté royal modifiant l'arrêté royal n°  20 du 20 juillet 1970, fixant les taux de la taxe sur la valeur ajoutée et déterminant la répartition des biens et des services selon ces taux en ce qui concerne certains produits destinés à la protection hygiénique intime et les défibrillateurs externes. - Traduction allemande, p. 1296.",2020010044,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-16&caller=list&numac=2020010044,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-16&caller=list&numac=2020010044
1/16/2020,"SERVICE PUBLIC FEDERAL FINANCES
7 DECEMBRE 2018. - Arrêté royal modifiant l'AR/CIR 92, en ce qui concerne les avantages de toute nature résultant de la disposition gratuite d'immeubles ou de parties d'immeubles. - Traduction allemande, p. 1297.",2020040052,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-16&caller=list&numac=2020040052,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-16&caller=list&numac=2020040052
1/24/2020,"MINISTERE DE LA COMMUNAUTE FRANCAISE
20 DECEMBRE 2019. - Arrêté ministériel approuvant le dossier de référence de la section intitulée «  Bachelier de spécialisation : sciences fiscales  » (code 711705S32D2) classée dans le domaine des sciences économiques et de gestion de l'enseignement supérieur de promotion sociale de type court, p. 3175.",2020010214,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-24&caller=list&numac=2020010214,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-24&caller=list&numac=2020010214
1/28/2020,"SERVICE PUBLIC FEDERAL FINANCES
20 JANVIER 2020. - Arrêté royal remédiant au double emploi de l'article 734quater/1 dans l'AR/CIR 92, p. 4012.",2020040138,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-28&caller=list&numac=2020040138,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-28&caller=list&numac=2020040138
1/28/2020,"SERVICE PUBLIC FEDERAL FINANCES
20 JANVIER 2020. - Arrêté ministériel adaptant l'arrêté ministériel du 20 décembre 2019 désignant le délégué en ce qui concerne l'application des articles 734/11 à 734/14 et 734quater/1 de l'arrêté royal d'exécution du Code des impôts sur les revenus 1992, p. 4013.",2020020094,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-28&caller=list&numac=2020020094,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-28&caller=list&numac=2020020094
1/28/2020,"SERVICE PUBLIC FEDERAL FINANCES
Administration générale de la Fiscalité. - Impôts sur les revenus. - Avis déterminant un nouveau modèle d'attestation n°  281.85 permettant d'apporter les preuves requises en matière de réduction d'impôt pour l'acquisition de nouvelles actions ou parts d'entreprises qui débutent conformément à l'article 14526,  §§  4 à 6, du Code des impôts sur les revenus 1992 (CIR 92) et à l'article 6312/1, de l'arrêté royal d'exécution du CIR 92 (AR/CIR 92). - Cet avis modifie celui paru au Moniteur belge du 16.02.2018, p. 4487.",2020010193,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-28&caller=list&numac=2020010193,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-28&caller=list&numac=2020010193
1/29/2020,"MINISTERE DE LA COMMUNAUTE FRANCAISE
20 DECEMBRE 2019. - Arrêté ministériel approuvant le dossier de référence de la section intitulée «  Bachelier de spécialisation : expertise comptable et fiscale  » (code 711704S32D2) classée dans le domaine des sciences économiques et de gestion de l'enseignement supérieur de promotion sociale de type court, p. 4658.",2020020106,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-29&caller=list&numac=2020020106,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-29&caller=list&numac=2020020106
2/3/2020,"SERVICE PUBLIC FEDERAL FINANCES
9 DECEMBRE 2019. - Arrêté royal modifiant ou abrogeant divers arrêtés d'exécution ensuite de l'introduction du code du recouvrement amiable et forcé des créances fiscales et non fiscales. - Erratum, p. 5740.",2020040181,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-02-03&caller=list&numac=2020040181,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-02-03&caller=list&numac=2020040181
2/3/2020,"SERVICE PUBLIC FEDERAL FINANCES
9 DECEMBRE 2019. - Arrêté royal modifiant ou abrogeant divers arrêtés d'exécution ensuite de l'introduction du code du recouvrement amiable et forcé des créances fiscales et non fiscales. - Erratum, p. 5740.",2020040181,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-02-03&caller=list&numac=2020040181,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-02-03&caller=list&numac=2020040181
